Signature	Number_unique	Number_similar	Similar_signatures	Lowest_LD	Lowest_LD_signature
AAK1	614	1	AAK1 KIF14 KIF1A RFX4, -2	-2	AAK1 KIF14 KIF1A RFX4
AAK1 KIF14 KIF1A RFX4	605	10	AAK1, -2;ATP5B GADD45G KIF14, -1;COL1A1 KIF14, -2;CTGF FABP6 IGF1 PRPH2 RFX4, -1;CYP2B6 DUSP11 KIF14, -1;E2F5 ITIH4 KIF14 ZNF273, -1;KIF14, -2;KIF14 MVK PRKCA, -2;KIF1A, -2;RFX4, -2	-2	AAK1
ACTN1 ADRA2A CEACAM8	600	15	ACTN1 BDNF MRTO4, -3;ACTN1 COL1A1 DAB2 LAMB3 SGK1, -1;ACTN1 F13A1 RPL10A, -3;ACTN1 GDNF PAIP2B, -3;ACTN1 ISG20, -3;ACTN1 ITGB4 LAMB3 PAX4, -2;ACTN1 MRPS12 MSC, -3;ACTN1 NGF, -3;ACTN1 RPL10A, -3;ACTN1 TLE1, -3;ADRA2A BMP2K FMO4 TLE1, -1;ATM CEACAM8 IGF1 S100P, -1;BDNF BUB1 CEACAM8 ETS2, -2;CEACAM8 DDR2 LHX2, -1;CEACAM8 GNAI1 LAMB3 SOX2, 0	-3	ACTN1 BDNF MRTO4
ACTN1 BDNF MRTO4	583	32	ACTN1 ADRA2A CEACAM8, -3;ACTN1 COL1A1 DAB2 LAMB3 SGK1, -1;ACTN1 F13A1 RPL10A, -3;ACTN1 GDNF PAIP2B, -3;ACTN1 ISG20, -3;ACTN1 ITGB4 LAMB3 PAX4, -2;ACTN1 MRPS12 MSC, -3;ACTN1 NGF, -3;ACTN1 RPL10A, -3;ACTN1 TLE1, -3;AGER MRTO4, -3;ARHGEF1 ITIH4 MRTO4 PRKCA, -2;BAK1 BDNF GNAI1, -3;BAK1 BDNF HMG20B IGF1 S100P SOX5, 0;BDNF, -3;BDNF BUB1 CEACAM8 ETS2, -1;BDNF CFD INS MRTO4, -7;BDNF COL16A1 IGF1 S100P, -1;BDNF GNRH2, -3;BDNF LAMB3 VENTX, -2;BDNF PRKCB TGFB2, -2;BUB1 MRTO4 OLFML2B, -2;CDH6 MRTO4 PAIP2B, -2;E2F5 MRTO4 TLR4, -2;GRTP1 KIF13B MRTO4 RPL18, -2;KATNA1 MRTO4 PAX2 SLC7A2 TGFBI, 0;LAMA5 LILRB5 MRTO4 OSBPL9, -2;LAMB3 MRTO4 PAIP2B, -2;LILRB5 MRTO4 TLE1, -2;MME MRTO4, -3;MRTO4, -3;MRTO4 TLR4, -2	-7	BDNF CFD INS MRTO4
ACTN1 COL1A1 DAB2 LAMB3 SGK1	569	46	ACTN1 ADRA2A CEACAM8, -1;ACTN1 BDNF MRTO4, -1;ACTN1 F13A1 RPL10A, -1;ACTN1 GDNF PAIP2B, -1;ACTN1 ISG20, -1;ACTN1 ITGB4 LAMB3 PAX4, -7;ACTN1 MRPS12 MSC, -1;ACTN1 NGF, -1;ACTN1 RPL10A, -1;ACTN1 TLE1, -1;ARHGEF1 BMP2K DAB2 ETS2, -1;ATP5B COL1A1 ERCC2 HNF4A IRAK3, -1;BAK1 E2F5 ERCC2 LAMB3, -1;BDNF LAMB3 VENTX, -1;BMP2K LAMB3 TLE1, -1;C1QA DAB2 IRAK3, -1;CALCOCO1 LAMB3, -1;CCDC81 COL1A1 FXYD1 TGFBR3 VENTX, -1;CD80 DAB2, -1;CEACAM1 COL1A1 GRTP1 PHLDA1, -1;CEACAM1 COL1A1 PHLDA1, -1;CEACAM8 GNAI1 LAMB3 SOX2, -1;COL1A1, -1;COL1A1 DKK2, -1;COL1A1 KIF14, -1;COL1A1 MSX2 MYL1 RPL10A TAS2R16, 0;COL1A1 PRMT1, -1;CPB2 DAB2, -1;DAB2 DDR2 LHX2 SLC1A5, 0;DAB2 GDNF INS, -1;DAB2 GDNF MME, -1;DAB2 JPH2, -1;DLG2 LAMB3, -1;ELK3 LAMB3, -1;F13A1 LAMB3 MYL1 RPL10A, 0;GPR35 IL12A LAMB3, -1;HDAC9 SGK1, -1;HMG20B SGK1 TLE1, 0;IFI16 IRAK3 ITGBL1 LAMA5 MT1H SGK1, 0;IGF1 LAMB3, -1;LAMB3, -1;LAMB3 MRTO4 PAIP2B, 0;LAMB3 PCDH12, -1;PADI3 SGK1, -1;SGK1, -1;SGK1 TGFBR3, 0	-7	ACTN1 ITGB4 LAMB3 PAX4
ACTN1 F13A1 RPL10A	581	34	ACTN1 ADRA2A CEACAM8, -3;ACTN1 BDNF MRTO4, -3;ACTN1 COL1A1 DAB2 LAMB3 SGK1, -1;ACTN1 GDNF PAIP2B, -3;ACTN1 ISG20, -3;ACTN1 ITGB4 LAMB3 PAX4, -2;ACTN1 MRPS12 MSC, -3;ACTN1 NGF, -3;ACTN1 RPL10A, -9;ACTN1 TLE1, -3;ADAM28 F13A1 IRAK3 POU6F1, -2;AGER HNF4A RPL10A, -3;BIRC3 F13A1 RPL10A, -9;BIRC3 RPL10A, -3;BUB1 ETS2 F13A1, -2;CEACAM1 GDNF RPL10A SLC7A2 VENTX, -1;COL1A1 MSX2 MYL1 RPL10A TAS2R16, -1;E2F5 MYL1 RPL10A, -3;ELN F13A1 IRAK3 MAPT, -2;ERCC2 F13A1 KATNA1, -3;F13A1, -3;F13A1 GNRH2 IRF1, -2;F13A1 HNF4A NGF RPL10A, -7;F13A1 IRAK3 MAPT QKI RPL10A, -6;F13A1 LAMB3 MYL1 RPL10A, -7;FBN1 GNAI1 RPL10A, -3;HNF4A RPL10A, -3;HNF4A RPL10A TLE1, -2;ITIH4 PRKCB REEP1 RPL10A XBP1, -1;ITIH4 RPL10A, -3;MSX2 NMT2 RPL10A TAS2R16, -2;PAX4 RPL10A TUBB6, -2;PRMT1 RPL10A, -3;RPL10A, -3	-9	ACTN1 RPL10A
ACTN1 GDNF PAIP2B	589	26	ACTN1 ADRA2A CEACAM8, -3;ACTN1 BDNF MRTO4, -3;ACTN1 COL1A1 DAB2 LAMB3 SGK1, -1;ACTN1 F13A1 RPL10A, -3;ACTN1 ISG20, -3;ACTN1 ITGB4 LAMB3 PAX4, -2;ACTN1 MRPS12 MSC, -3;ACTN1 NGF, -3;ACTN1 RPL10A, -3;ACTN1 TLE1, -3;ARHGAP25 CRIM1 PAIP2B, -3;BMI1 PAIP2B, -3;BMP2K CBR1 HNF4A PAIP2B TM4SF1, -1;CDH6 MRTO4 PAIP2B, -3;CEACAM1 GDNF RPL10A SLC7A2 VENTX, -1;DAB2 GDNF INS, -3;DAB2 GDNF MME, -3;DTNA GDNF RBM4B WFDC1, -2;F3 GDNF ITGB4, -3;FLI1 GDNF TAS2R16, -3;FRAT1 GDNF OSBPL9, -3;FXYD1 HMOX1 PAIP2B PRLR, -2;GDNF, -3;GDNF MCTP2 PAX2 QPCTL, -1;GDNF NHLH1 SCN5A, -2;LAMB3 MRTO4 PAIP2B, -3	-3	ACTN1 ADRA2A CEACAM8
ACTN1 ISG20	603	12	ACTN1 ADRA2A CEACAM8, -3;ACTN1 BDNF MRTO4, -3;ACTN1 COL1A1 DAB2 LAMB3 SGK1, -1;ACTN1 F13A1 RPL10A, -3;ACTN1 GDNF PAIP2B, -3;ACTN1 ITGB4 LAMB3 PAX4, -2;ACTN1 MRPS12 MSC, -3;ACTN1 NGF, -4;ACTN1 RPL10A, -4;ACTN1 TLE1, -4;ERCC2 ISG20 ITGB4 KATNA1 TNC, -1;ISG20, -4	-4	ACTN1 NGF
ACTN1 ITGB4 LAMB3 PAX4	584	31	ACTN1 ADRA2A CEACAM8, -2;ACTN1 BDNF MRTO4, -2;ACTN1 COL1A1 DAB2 LAMB3 SGK1, -7;ACTN1 F13A1 RPL10A, -2;ACTN1 GDNF PAIP2B, -2;ACTN1 ISG20, -2;ACTN1 MRPS12 MSC, -2;ACTN1 NGF, -2;ACTN1 RPL10A, -2;ACTN1 TLE1, -2;BAK1 E2F5 ERCC2 LAMB3, -1;BDNF LAMB3 VENTX, -2;BMP2K LAMB3 TLE1, -2;CALCOCO1 LAMB3, -2;CEACAM8 GNAI1 LAMB3 SOX2, -2;DLG2 LAMB3, -2;ELK3 LAMB3, -2;ELN PAX4 TGFB2, -1;ERCC2 ISG20 ITGB4 KATNA1 TNC, -1;F13A1 LAMB3 MYL1 RPL10A, -1;F3 GDNF ITGB4, -1;F3 INS LAMA5 PAX4 TGFB2, -1;FXYD5 NGF PAX4, -2;GPR35 IL12A LAMB3, -2;IGF1 LAMB3, -2;ITGB4, -2;LAMB3, -2;LAMB3 MRTO4 PAIP2B, -1;LAMB3 PCDH12, -2;PAX4, -2;PAX4 RPL10A TUBB6, 0	-7	ACTN1 COL1A1 DAB2 LAMB3 SGK1
ACTN1 MRPS12 MSC	580	35	ACTN1 ADRA2A CEACAM8, -3;ACTN1 BDNF MRTO4, -3;ACTN1 COL1A1 DAB2 LAMB3 SGK1, -1;ACTN1 F13A1 RPL10A, -3;ACTN1 GDNF PAIP2B, -3;ACTN1 ISG20, -3;ACTN1 ITGB4 LAMB3 PAX4, -2;ACTN1 NGF, -3;ACTN1 RPL10A, -3;ACTN1 TLE1, -3;BMP2K C1QA MRPS12, -2;BMP2K FBN1 MRPS12, -2;BMP2K MRPS12 QKI TLE1, -2;CALCOCO1 MSC, -3;CD3EAP MRPS12, -3;CEACAM1 HNF4A MSC, -3;CPB2 DLG2 ELN MSC, -2;CTGF MRPS12, -3;DKK2 MRPS12 PDZD3 REEP1, -2;ELK3 MRPS12 PDIA3 QKI, -2;FAM134B MSC, -3;FARP1 MRPS12 REEP1, -3;FBN1 FRAT1 MRPS12 OPCML SLC7A2 SYNPO, 0;FBN1 LCN2 LOR MRPS12 MSX2 TLR4, 0;FBN1 MRPS12 NOX3 TBXA2R, -2;GAA GPR35 MSC SCN5A, -2;GAA GPR35 MSC SCN5A UGT1A1, -1;IGF1 MSC PDIA3 PPA2, -1;KCTD14 MRPS12, -3;MRPS12 MSC, -9;MRPS12 RCAN2 RCVRN SLC39A4, -1;MSC, -3;MSC PHLDA1 TM4SF1, -1;MSC QKI, -2;MSC ZMYND10, -2	-9	MRPS12 MSC
