SignatureA	SignatureB	LD
ACTA2	ACTA2 FMO1	-4
ACTA2	ACTG2	1
ACTA2	ACTG2 NOX3	2
ACTA2	ACTG2 SLC16A7	2
ACTA2	ACTG2 SNTG2	2
ACTA2	ACTG2 TP53	2
ACTA2	ACVR2A DNAL4 MS4A2 POLQ	4
ACTA2	ADH1B	1
ACTA2	AK1 LAMA2 LXN POLQ	4
ACTA2	AMACR	1
ACTA2	AMACR HSP90AA1	2
ACTA2	ANK1	1
ACTA2	ANK1 NPHP1	2
ACTA2	ANK1 POLQ TNFSF10	3
ACTA2	ANK1 TP53	2
ACTA2	AQP7	1
ACTA2	AQP7 PTGER1	2
ACTA2	ARPC5L	1
ACTA2	ATP1B2	1
ACTA2	BCL2A1	1
ACTA2	BCL2A1 LAMA2	2
ACTA2	CALCA	1
ACTA2	CALCA NPTX1	2
ACTA2	CALCA TP53	2
ACTA2	CALML3	1
ACTA2	CARD9	1
ACTA2	CARD9 FGR SRRM1	3
ACTA2	CCDC121 SEC14L4 SPAG8	3
ACTA2	CCL2	1
ACTA2	CD209	1
ACTA2	CDK2	1
ACTA2	CDK2 GPR68	2
ACTA2	CDK2 SCN2A SLC8A2	3
ACTA2	CEP152	1
ACTA2	CLTCL1 ID4	2
ACTA2	COCH	1
ACTA2	COL1A2	1
ACTA2	COX17	1
ACTA2	COX17 LAMA2	2
ACTA2	CRB1	1
ACTA2	CREB1	1
ACTA2	CRYGC MAP3K1 POLQ	3
ACTA2	CXCL13	1
ACTA2	CXCL13 DLX5 LRP2BP	3
ACTA2	CXCL2	1
ACTA2	CXCL2 PTGER1	2
ACTA2	CYP1A1 LAMA2	2
ACTA2	CYP1A1 LAMA2 TRPC6	3
ACTA2	CYP1A1 NHLH2	2
ACTA2	CYP1A1 PABPN1	2
ACTA2	CYP3A4	1
ACTA2	CYP3A4 E2F6 ITPR3 SRRM1	4
ACTA2	CYP3A4 ELF3 POLQ	3
ACTA2	CYP3A4 FMO1 HNRNPL	3
ACTA2	CYP3A4 FXYD6	2
ACTA2	CYP3A4 PODXL	2
ACTA2	CYP4A11 GKN1 ZSCAN18	3
ACTA2	CYP4F8	1
ACTA2	CYP4F8 ICAM4	2
ACTA2	CYP4F8 MYO3A	2
ACTA2	DAPK2	1
ACTA2	DDR2 PRKCB	2
ACTA2	DLX5	1
ACTA2	DLX5 GRM4 TAS2R16	3
ACTA2	DNM3	1
ACTA2	DNM3 STXBP2	2
ACTA2	DPPA4	1
ACTA2	DPPA4 HRG	2
ACTA2	DTNA	1
ACTA2	DYNC1H1 SNAI1	2
ACTA2	E2F6 PTGER1	2
ACTA2	ELF3	1
ACTA2	ELF3 FGF22	2
ACTA2	ELF3 PTGER1	2
ACTA2	ELF3 SCN1B SLCO4C1	3
ACTA2	EPHA7	1
ACTA2	EWSR1	1
ACTA2	EWSR1 HRG	2
ACTA2	EWSR1 MED22	2
ACTA2	EWSR1 PRMT1	2
ACTA2	EWSR1 SCN2A	2
ACTA2	EWSR1 SLC7A2	2
ACTA2	EWSR1 SPRR1A	2
ACTA2	EWSR1 UBQLN3	2
ACTA2	FGA	1
ACTA2	FGB	1
ACTA2	FGF22	1
ACTA2	FGR	1
ACTA2	FXYD6	1
ACTA2	GAS1 TP53	2
ACTA2	GLDC ZSCAN18	2
ACTA2	GLTSCR2	1
ACTA2	GLTSCR2 MTCH1	2
ACTA2	GNG3	1
ACTA2	GNG3 HBE1	2
ACTA2	GNG3 HTR2A	2
ACTA2	GNG3 MTCH1	2
ACTA2	GNG3 SEC14L4	2
ACTA2	GNG3 TAS2R16	2
ACTA2	GPR68	1
ACTA2	GPR68 GRM4	2
ACTA2	GRM4	1
ACTA2	GRM4 ITPR3	2
ACTA2	GTF2F2	1
ACTA2	GUCY2D	1
ACTA2	H1F0	1
ACTA2	H1F0 SOX2 TGFB3	3
ACTA2	HAO1	1
ACTA2	HBE1	1
ACTA2	HCN2	1
ACTA2	HRG	1
ACTA2	HRG RASGRF1	2
ACTA2	HRG RYR1	2
ACTA2	HRG TNFSF10	2
ACTA2	HSP90AA1	1
ACTA2	HTR2A	1
ACTA2	IAPP	1
ACTA2	ICAM4 PCSK5	2
ACTA2	ID4	1
ACTA2	IL2RA	1
ACTA2	ITPR3	1
ACTA2	ITPR3 PTPRR	2
ACTA2	KCNA1	1
ACTA2	KCNA1 RASGRF1 SRRM1	3
ACTA2	KCNA1 UBQLN3	2
ACTA2	KCNJ16	1
ACTA2	KCNJ16 SCN2A	2
ACTA2	KCNJ9 KIAA0922	2
ACTA2	KCNQ1DN TRH	2
ACTA2	KIAA0922	1
ACTA2	KIF14	1
ACTA2	KRT33B NCF1	2
ACTA2	KRT33B SLC7A2	2
ACTA2	LAMA2	1
ACTA2	LAMA2 TLE4 TP53	3
ACTA2	LAP3	1
ACTA2	LFNG	1
ACTA2	LRP2BP	1
ACTA2	MED22	1
ACTA2	MS4A2	1
ACTA2	MTCH1	1
ACTA2	MYO16	1
ACTA2	MYO16 PRMT1	2
ACTA2	MYO16 UBQLN3	2
ACTA2	MYO3A	1
ACTA2	NHLH2	1
ACTA2	NHLH2 SERINC2 UBQLN3	3
ACTA2	NPY2R	1
ACTA2	NPY5R	1
ACTA2	NPY5R SCN1B	2
ACTA2	PABPN1	1
ACTA2	PABPN1 SCN1B SLCO4C1	3
ACTA2	PAIP2B	1
ACTA2	PAIP2B SLC6A13	2
ACTA2	PF4V1	1
ACTA2	PLA2G2E	1
ACTA2	PODXL	1
ACTA2	POLQ	1
ACTA2	PRMT1	1
ACTA2	PRMT1 UBQLN3	2
ACTA2	PTGER1	1
ACTA2	PTPRR	1
ACTA2	RASGRF1	1
ACTA2	RASGRF1 STXBP2 TDO2	3
ACTA2	RASGRP3	1
ACTA2	RGS16	1
ACTA2	RYR1	1
ACTA2	RYR1 SSTR4	2
ACTA2	SCN1B	1
ACTA2	SCN2A	1
ACTA2	SEC14L4	1
ACTA2	SERINC2	1
ACTA2	SLC12A2	1
ACTA2	SLC16A7	1
ACTA2	SLC25A1	1
ACTA2	SLC30A3	1
ACTA2	SLC6A13	1
ACTA2	SLC8A2	1
ACTA2	SLCO1A2	1
ACTA2	SLCO2A1	1
ACTA2	SPAG8	1
ACTA2	SRRM1	1
ACTA2	SSTR4	1
ACTA2	ST3GAL1	1
ACTA2	STK39	1
ACTA2	SV2B	1
ACTA2	SYNE1	1
ACTA2	TAS2R16	1
ACTA2	TGFB3	1
ACTA2	TLE4	1
ACTA2	TLE4 TP53	2
ACTA2	TMEM57	1
ACTA2	TNFAIP8	1
ACTA2	TNFSF10	1
ACTA2	TNS1	1
ACTA2	TP53	1
ACTA2	TP53 TRPC6	2
ACTA2	TRPC6	1
ACTA2	TSGA10	1
ACTA2	TST	1
ACTA2	U2AF2	1
ACTA2	UBQLN3	1
ACTA2	UCN	1
ACTA2	VPS4A	1
ACTA2	WNT1	1
ACTA2 FMO1	ACTG2	2
ACTA2 FMO1	ACTG2 NOX3	2
ACTA2 FMO1	ACTG2 SLC16A7	2
ACTA2 FMO1	ACTG2 SNTG2	2
ACTA2 FMO1	ACTG2 TP53	2
ACTA2 FMO1	ACVR2A DNAL4 MS4A2 POLQ	4
ACTA2 FMO1	ADH1B	2
ACTA2 FMO1	AK1 LAMA2 LXN POLQ	4
ACTA2 FMO1	AMACR	2
ACTA2 FMO1	AMACR HSP90AA1	2
ACTA2 FMO1	ANK1	2
