Set_of_parameters_modelNumber	C_Value	Sigma_Value	Genes	Misclass	Misclass_Error	LogLoss	LogLoss_Error	GOF	GOF_Error	Accuracy0	Accuracy1	Accuracy0_err	Accuracy1_err	MCC
30deg0-10deg1-0deg2_13	1000	100	MAPT;BAK1	0.413793	0.000000	1.388488	0.013159	0.413793	0.000000	0.854839	0.521401	0.000000	0.000000	0.299366368012933
30deg0-10deg1-0deg2_14	10000	100	MAPT;BAK1	0.413793	0.000000	1.175682	0.003965	0.413793	0.000000	0.854839	0.521401	0.000000	0.000000	0.299366368012933
30deg0-12deg1-0deg2_13	1000	100	RPL10A;F13A1;MAPT;QKI;IRAK3	0.376176	0.000000	0.724887	0.001394	0.376176	0.000000	0.774194	0.587549	0.000000	0.000000	0.286457512241758
30deg0-6deg1-0deg2_9	1000	10	MAPT;ELN;CPB2	0.244514	0.000000	0.506988	0.000000	0.244514	0.000000	0.467742	0.824903	0.000000	0.000000	0.274349864442274
30deg0-8deg1-8deg2_7	10	10	KIF14;GADD45G;ATP5B	0.385580	0.000000	0.644993	0.000796	0.385580	0.000000	0.725806	0.587549	0.000000	0.000000	0.248345296045369
30deg0-16deg1-2deg2_15	100000	100	TCF4;QKI;KATNA1;TUBB6	0.757994	0.007941	1.382665	0.054944	0.757994	0.007941	0.600000	0.155642	0.066667	0.025940	-0.240333165795477
30deg0-2deg1-0deg2_16	1000	1000	TLE1	0.570533	0.021333	0.727421	0.001105	0.570533	0.021333	0.235484	0.476265	0.049637	0.038271	-0.228601982102485
30deg0-6deg1-0deg2_10	10000	10	MAPT;ELN;IRAK3;F13A1	0.351097	0.038393	0.581013	0.010055	0.351097	0.038393	0.609677	0.658366	0.057945	0.061634	0.217092027750646
30deg0-16deg1-0deg2_21	100000	100000	RPL10A;GNAI1;FBN1	0.410658	0.000000	0.680915	0.006799	0.410658	0.000000	0.709677	0.560311	0.000000	0.000000	0.213697544879169
30deg0-8deg1-8deg2_16	1000	1000	REEP1;FARP1;SCN5A;RCN3	0.266458	0.000000	0.574476	0.003522	0.266458	0.000000	0.419355	0.809339	0.000000	0.000000	0.213398743911287
30deg0-8deg1-8deg2_20	100000	10000	REEP1;FARP1;SCN5A;RCN3	0.266458	0.000000	0.574427	0.003511	0.266458	0.000000	0.419355	0.809339	0.000000	0.000000	0.213398743911287
30deg0-20deg1-6deg2_21	100000	100000	COL1A1;FXYD1;VENTX;TGFBR3;CCDC81	0.697806	0.004511	0.821317	0.013918	0.697806	0.004511	0.498387	0.254864	0.012597	0.008249	-0.212501394499398
30deg0-14deg1-8deg2_19	10000	10000	WFDC1;TGFBR3;MAPT	0.476489	0.000000	0.719634	0.001407	0.476489	0.000000	0.790323	0.459144	0.000000	0.000000	0.200660064452381
30deg0-2deg1-0deg2_17	10000	1000	TLE1	0.589342	0.025265	0.729637	0.001127	0.589342	0.025265	0.316129	0.433463	0.074660	0.049240	-0.198302147508014
30deg0-2deg1-0deg2_20	100000	10000	TLE1	0.588715	0.024696	0.729665	0.001122	0.588715	0.024696	0.316129	0.434241	0.074660	0.048520	-0.197677325391223
30deg0-2deg1-0deg2_12	100	100	TLE1	0.588401	0.025218	0.729565	0.001123	0.588401	0.025218	0.316129	0.434630	0.074660	0.049198	-0.197365051566663
30deg0-14deg1-2deg2_18	100000	1000	TLE1;GADD45G;BAK1;FBN1	0.706897	0.004907	0.961808	0.022709	0.706897	0.004907	0.554839	0.229961	0.006452	0.007595	-0.191412627200283
30deg0-10deg1-0deg2_18	100000	1000	MAPT;BAK1	0.326019	0.035834	1.365606	0.038008	0.326019	0.035834	0.512903	0.712840	0.139595	0.078155	0.18982238334336
30deg0-6deg1-0deg2_1	1	1	COL1A1	0.459248	0.006776	0.753637	0.003888	0.459248	0.006776	0.156452	0.633463	0.009633	0.010534	-0.177390123802315
30deg0-16deg1-8deg2_11	100000	10	NMT2	0.538558	0.003904	1.036435	0.015445	0.538558	0.003904	0.837097	0.370817	0.001613	0.005058	0.174914276296392
